sample_id,original_run_id,original_value,isr_run_id,isr_value,percent_difference,within_criterion,units
BE-2026-014-0248,R011,304.19,R018,382.32,22.76,0,ng/mL
BE-2026-014-0312,R013,225.7,R018,173.16,-26.34,0,ng/mL
BE-2026-014-0284,R012,224.25,R018,207.24,-7.88,1,ng/mL
BE-2026-014-0350,R015,6.7482,R018,6.8048,0.84,1,ng/mL
BE-2026-014-0132,R006,400.77,R018,380.5,-5.19,1,ng/mL
BE-2026-014-0164,R007,182.93,R018,183.85,0.5,1,ng/mL
BE-2026-014-0313,R014,275.25,R018,290.27,5.31,1,ng/mL
BE-2026-014-0373,R016,325.66,R018,328.51,0.87,1,ng/mL
BE-2026-014-0050,R002,461.43,R018,530.49,13.93,1,ng/mL
BE-2026-014-0232,R010,431.23,R018,436.22,1.15,1,ng/mL
BE-2026-014-0114,R005,157.94,R018,145.04,-8.51,1,ng/mL
BE-2026-014-0256,R011,261.24,R018,273.27,4.5,1,ng/mL
BE-2026-014-0335,R014,63.17,R018,70.92,11.56,1,ng/mL
BE-2026-014-0359,R015,271.27,R018,269.95,-0.49,1,ng/mL
BE-2026-014-0258,R011,356.0,R018,355.76,-0.07,1,ng/mL
BE-2026-014-0018,R001,266.49,R018,247.52,-7.38,1,ng/mL
BE-2026-014-0038,R002,331.73,R018,289.86,-13.47,1,ng/mL
BE-2026-014-0095,R004,432.37,R018,458.15,5.79,1,ng/mL
BE-2026-014-0185,R009,361.47,R018,377.36,4.3,1,ng/mL
BE-2026-014-0011,R001,185.2,R018,179.07,-3.36,1,ng/mL
BE-2026-014-0125,R005,94.95,R018,87.49,-8.18,1,ng/mL
BE-2026-014-0259,R011,375.08,R018,352.53,-6.2,1,ng/mL
BE-2026-014-0389,R016,300.91,R018,317.74,5.44,1,ng/mL
BE-2026-014-0156,R006,176.69,R018,186.18,5.23,1,ng/mL
BE-2026-014-0418,R018,216.75,R018,219.42,1.22,1,ng/mL
BE-2026-014-0405,R017,30.17,R018,26.25,-13.88,1,ng/mL
BE-2026-014-0394,R017,115.55,R018,115.71,0.14,1,ng/mL
BE-2026-014-0289,R013,358.89,R018,371.78,3.53,1,ng/mL
BE-2026-014-0143,R006,174.92,R018,173.13,-1.03,1,ng/mL
BE-2026-014-0338,R014,79.34,R018,71.65,-10.19,1,ng/mL
BE-2026-014-0286,R012,330.58,R018,345.19,4.32,1,ng/mL
BE-2026-014-0060,R003,147.57,R018,132.07,-11.08,1,ng/mL
BE-2026-014-0368,R016,236.12,R018,228.72,-3.18,1,ng/mL
BE-2026-014-0154,R006,8.9726,R018,9.4298,4.97,1,ng/mL
BE-2026-014-0139,R006,68.62,R018,76.42,10.76,1,ng/mL
BE-2026-014-0324,R014,61.84,R018,60.97,-1.42,1,ng/mL
