run_id,qc_level,nominal_value,measured_value,percent_bias,replicate_number,units,pass_fail
R001,LLOQ QC,1.0,0.93,-7.0,1,ng/mL,pass
R001,LLOQ QC,1.0,0.9149,-8.51,2,ng/mL,pass
R001,Low QC,3.0,2.9479,-1.74,1,ng/mL,pass
R001,Low QC,3.0,2.7234,-9.22,2,ng/mL,pass
R001,Mid QC,50.0,48.71,-2.59,1,ng/mL,pass
R001,Mid QC,50.0,49.64,-0.71,2,ng/mL,pass
R001,High QC,400.0,364.6,-8.85,1,ng/mL,pass
R001,High QC,400.0,377.16,-5.71,2,ng/mL,pass
R002,LLOQ QC,1.0,1.0428,4.28,1,ng/mL,pass
R002,LLOQ QC,1.0,1.087,8.7,2,ng/mL,pass
R002,Low QC,3.0,3.1482,4.94,1,ng/mL,pass
R002,Low QC,3.0,3.1271,4.24,2,ng/mL,pass
R002,Mid QC,50.0,54.11,8.23,1,ng/mL,pass
R002,Mid QC,50.0,52.28,4.55,2,ng/mL,pass
R002,High QC,400.0,436.62,9.16,1,ng/mL,pass
R002,High QC,400.0,431.27,7.82,2,ng/mL,pass
R003,LLOQ QC,1.0,1.0642,6.42,1,ng/mL,pass
R003,LLOQ QC,1.0,0.985,-1.5,2,ng/mL,pass
R003,Low QC,3.0,2.8727,-4.24,1,ng/mL,pass
R003,Low QC,3.0,2.8998,-3.34,2,ng/mL,pass
R003,Mid QC,50.0,52.48,4.96,1,ng/mL,pass
R003,Mid QC,50.0,47.72,-4.56,2,ng/mL,pass
R003,High QC,400.0,382.48,-4.38,1,ng/mL,pass
R003,High QC,400.0,396.54,-0.87,2,ng/mL,pass
R004,LLOQ QC,1.0,0.9645,-3.55,1,ng/mL,pass
R004,LLOQ QC,1.0,0.9669,-3.31,2,ng/mL,pass
R004,Low QC,3.0,2.9167,-2.78,1,ng/mL,pass
R004,Low QC,3.0,2.8957,-3.48,2,ng/mL,pass
R004,Mid QC,50.0,49.72,-0.55,1,ng/mL,pass
R004,Mid QC,50.0,49.4,-1.2,2,ng/mL,pass
R004,High QC,400.0,395.62,-1.09,1,ng/mL,pass
R004,High QC,400.0,375.78,-6.06,2,ng/mL,pass
R005,LLOQ QC,1.0,0.9742,-2.58,1,ng/mL,pass
R005,LLOQ QC,1.0,0.9595,-4.05,2,ng/mL,pass
R005,Low QC,3.0,2.9529,-1.57,1,ng/mL,pass
R005,Low QC,3.0,3.0075,0.25,2,ng/mL,pass
R005,Mid QC,50.0,49.27,-1.47,1,ng/mL,pass
R005,Mid QC,50.0,49.02,-1.96,2,ng/mL,pass
R005,High QC,400.0,376.54,-5.86,1,ng/mL,pass
R005,High QC,400.0,407.89,1.97,2,ng/mL,pass
R006,LLOQ QC,1.0,0.9702,-2.98,1,ng/mL,pass
R006,LLOQ QC,1.0,0.9483,-5.17,2,ng/mL,pass
R006,Low QC,3.0,3.1464,4.88,1,ng/mL,pass
R006,Low QC,3.0,2.9031,-3.23,2,ng/mL,pass
R006,Mid QC,50.0,49.25,-1.5,1,ng/mL,pass
R006,Mid QC,50.0,48.64,-2.72,2,ng/mL,pass
R006,High QC,400.0,394.82,-1.29,1,ng/mL,pass
R006,High QC,400.0,385.2,-3.7,2,ng/mL,pass
R007,LLOQ QC,1.0,0.931,-6.9,1,ng/mL,pass
R007,LLOQ QC,1.0,0.9738,-2.62,2,ng/mL,pass
R007,Low QC,3.0,3.0652,2.17,1,ng/mL,pass
R007,Low QC,3.0,2.9214,-2.62,2,ng/mL,pass
R007,Mid QC,50.0,58.33,16.66,1,ng/mL,fail
R007,Mid QC,50.0,60.6,21.19,2,ng/mL,fail
R007,High QC,400.0,466.35,16.59,1,ng/mL,fail
R007,High QC,400.0,470.45,17.61,2,ng/mL,fail
R008,LLOQ QC,1.0,0.9906,-0.94,1,ng/mL,pass
R008,LLOQ QC,1.0,1.0393,3.93,2,ng/mL,pass
R008,Low QC,3.0,2.9651,-1.16,1,ng/mL,pass
R008,Low QC,3.0,3.1651,5.5,2,ng/mL,pass
R008,Mid QC,50.0,52.13,4.25,1,ng/mL,pass
R008,Mid QC,50.0,49.36,-1.29,2,ng/mL,pass
R008,High QC,400.0,428.81,7.2,1,ng/mL,pass
R008,High QC,400.0,391.58,-2.11,2,ng/mL,pass
R009,LLOQ QC,1.0,1.0988,9.88,1,ng/mL,pass
R009,LLOQ QC,1.0,1.0475,4.75,2,ng/mL,pass
R009,Low QC,3.0,3.2461,8.2,1,ng/mL,pass
R009,Low QC,3.0,2.9935,-0.22,2,ng/mL,pass
R009,Mid QC,50.0,54.24,8.48,1,ng/mL,pass
R009,Mid QC,50.0,51.66,3.33,2,ng/mL,pass
R009,High QC,400.0,415.08,3.77,1,ng/mL,pass
R009,High QC,400.0,395.69,-1.08,2,ng/mL,pass
R010,LLOQ QC,1.0,1.0666,6.66,1,ng/mL,pass
R010,LLOQ QC,1.0,1.0246,2.46,2,ng/mL,pass
R010,Low QC,3.0,2.8965,-3.45,1,ng/mL,pass
R010,Low QC,3.0,2.89,-3.67,2,ng/mL,pass
R010,Mid QC,50.0,50.84,1.69,1,ng/mL,pass
R010,Mid QC,50.0,48.77,-2.47,2,ng/mL,pass
R010,High QC,400.0,391.96,-2.01,1,ng/mL,pass
R010,High QC,400.0,435.12,8.78,2,ng/mL,pass
R011,LLOQ QC,1.0,1.0845,8.45,1,ng/mL,pass
R011,LLOQ QC,1.0,1.0571,5.71,2,ng/mL,pass
R011,Low QC,3.0,3.1126,3.75,1,ng/mL,pass
R011,Low QC,3.0,3.1221,4.07,2,ng/mL,pass
R011,Mid QC,50.0,53.59,7.18,1,ng/mL,pass
R011,Mid QC,50.0,50.9,1.8,2,ng/mL,pass
R011,High QC,400.0,437.46,9.36,1,ng/mL,pass
R011,High QC,400.0,393.68,-1.58,2,ng/mL,pass
R012,LLOQ QC,1.0,0.9533,-4.67,1,ng/mL,pass
R012,LLOQ QC,1.0,1.0194,1.94,2,ng/mL,pass
R012,Low QC,3.0,2.8713,-4.29,1,ng/mL,pass
R012,Low QC,3.0,3.0372,1.24,2,ng/mL,pass
R012,Mid QC,50.0,47.37,-5.25,1,ng/mL,pass
R012,Mid QC,50.0,49.24,-1.52,2,ng/mL,pass
R012,High QC,400.0,410.48,2.62,1,ng/mL,pass
R012,High QC,400.0,388.68,-2.83,2,ng/mL,pass
R013,LLOQ QC,1.0,1.0243,2.43,1,ng/mL,pass
R013,LLOQ QC,1.0,1.0287,2.87,2,ng/mL,pass
R013,Low QC,3.0,3.1351,4.5,1,ng/mL,pass
R013,Low QC,3.0,3.1791,5.97,2,ng/mL,pass
R013,Mid QC,50.0,50.45,0.89,1,ng/mL,pass
R013,Mid QC,50.0,47.56,-4.87,2,ng/mL,pass
R013,High QC,400.0,425.25,6.31,1,ng/mL,pass
R013,High QC,400.0,420.64,5.16,2,ng/mL,pass
R014,LLOQ QC,1.0,1.0204,2.04,1,ng/mL,pass
R014,LLOQ QC,1.0,1.0377,3.77,2,ng/mL,pass
R014,Low QC,3.0,2.8676,-4.41,1,ng/mL,pass
R014,Low QC,3.0,3.1645,5.48,2,ng/mL,pass
R014,Mid QC,50.0,50.66,1.31,1,ng/mL,pass
R014,Mid QC,50.0,51.64,3.28,2,ng/mL,pass
R014,High QC,400.0,401.72,0.43,1,ng/mL,pass
R014,High QC,400.0,399.42,-0.15,2,ng/mL,pass
R015,LLOQ QC,1.0,1.0379,3.79,1,ng/mL,pass
R015,LLOQ QC,1.0,1.0348,3.48,2,ng/mL,pass
R015,Low QC,3.0,3.1396,4.65,1,ng/mL,pass
R015,Low QC,3.0,3.0607,2.02,2,ng/mL,pass
R015,Mid QC,50.0,46.02,-7.96,1,ng/mL,pass
R015,Mid QC,50.0,50.11,0.23,2,ng/mL,pass
R015,High QC,400.0,402.75,0.69,1,ng/mL,pass
R015,High QC,400.0,407.9,1.97,2,ng/mL,pass
R016,LLOQ QC,1.0,1.0891,8.91,1,ng/mL,pass
R016,LLOQ QC,1.0,1.0895,8.95,2,ng/mL,pass
R016,Low QC,3.0,3.0619,2.06,1,ng/mL,pass
R016,Low QC,3.0,3.267,8.9,2,ng/mL,pass
R016,Mid QC,50.0,51.85,3.69,1,ng/mL,pass
R016,Mid QC,50.0,50.68,1.37,2,ng/mL,pass
R016,High QC,400.0,423.47,5.87,1,ng/mL,pass
R016,High QC,400.0,395.23,-1.19,2,ng/mL,pass
R017,LLOQ QC,1.0,1.0228,2.28,1,ng/mL,pass
R017,LLOQ QC,1.0,0.9965,-0.35,2,ng/mL,pass
R017,Low QC,3.0,3.1042,3.47,1,ng/mL,pass
R017,Low QC,3.0,2.8444,-5.19,2,ng/mL,pass
R017,Mid QC,50.0,52.86,5.72,1,ng/mL,pass
R017,Mid QC,50.0,53.39,6.78,2,ng/mL,pass
R017,High QC,400.0,392.76,-1.81,1,ng/mL,pass
R017,High QC,400.0,392.44,-1.89,2,ng/mL,pass
R018,LLOQ QC,1.0,1.1456,14.56,1,ng/mL,pass
R018,LLOQ QC,1.0,1.0855,8.55,2,ng/mL,pass
R018,Low QC,3.0,3.13,4.33,1,ng/mL,pass
R018,Low QC,3.0,3.2465,8.22,2,ng/mL,pass
R018,Mid QC,50.0,55.41,10.82,1,ng/mL,pass
R018,Mid QC,50.0,56.44,12.89,2,ng/mL,pass
R018,High QC,400.0,438.29,9.57,1,ng/mL,pass
R018,High QC,400.0,417.01,4.25,2,ng/mL,pass
