calibration_id,run_id,calibration_model,weighting,slope,intercept,r_squared,calibration_status,number_of_calibrators,ingest_id
CAL-R00001,R00001,linear,1/x^2,0.041252,0.001186,0.9999,accepted,8,
CAL-R00002,R00002,linear,1/x^2,0.04105,0.001072,0.99797,accepted,8,
CAL-R00003,R00003,linear,1/x^2,0.041354,0.000595,0.9982,accepted,8,
CAL-R00004,R00004,linear,1/x^2,0.041109,0.000618,0.99848,accepted,8,
CAL-R00005,R00005,linear,1/x^2,0.040104,0.000684,0.99812,accepted,8,
CAL-R00006,R00006,linear,1/x^2,0.041042,0.000445,0.99655,accepted,8,
CAL-R00007,R00007,linear,1/x^2,0.041627,0.000365,0.99845,accepted,8,
CAL-R00008,R00008,linear,1/x^2,0.041192,0.000464,0.9999,accepted,8,
CAL-R00009,R00009,linear,1/x^2,0.041875,0.00021,0.99853,accepted,8,
CAL-R00010,R00010,linear,1/x^2,0.040695,0.000598,0.99918,accepted,8,
CAL-R00011,R00011,linear,1/x^2,0.041356,0.000686,0.99954,accepted,8,
CAL-R00012,R00012,linear,1/x^2,0.040583,0.000736,0.99825,accepted,8,
CAL-R00013,R00013,linear,1/x^2,0.040723,0.000478,0.99843,accepted,8,
CAL-R00014,R00014,linear,1/x^2,0.04197,0.000572,0.99921,accepted,8,
CAL-R00015,R00015,linear,1/x^2,0.040918,0.000434,0.99904,accepted,8,
CAL-R00016,R00016,linear,1/x^2,0.041123,0.000319,0.9991,accepted,8,
CAL-R00017,R00017,linear,1/x^2,0.041148,0.000865,0.9999,accepted,8,
CAL-R00018,R00018,linear,1/x^2,0.041562,0.000364,0.99849,accepted,8,
CAL-R00019,R00019,linear,1/x^2,0.041288,0.000467,0.99959,accepted,8,
CAL-R00020,R00020,linear,1/x^2,0.041832,0.000328,0.99768,accepted,8,
CAL-R00021,R00021,linear,1/x^2,0.041029,0.000558,0.99738,accepted,8,
CAL-R00022,R00022,linear,1/x^2,0.040768,0.000676,0.99866,accepted,8,
CAL-R00023,R00023,linear,1/x^2,0.041976,0.000738,0.9999,accepted,8,
CAL-R00024,R00024,linear,1/x^2,0.041579,0.000328,0.99876,accepted,8,
CAL-R00025,R00025,linear,1/x^2,0.040791,0.000758,0.99804,accepted,8,
CAL-R00026,R00026,linear,1/x^2,0.040721,0.000652,0.99783,accepted,8,
CAL-R00027,R00027,linear,1/x^2,0.040997,0.000541,0.99935,accepted,8,
CAL-R00028,R00028,linear,1/x^2,0.041221,0.000401,0.99825,accepted,8,
CAL-R00029,R00029,linear,1/x^2,0.041798,0.000637,0.99969,accepted,8,
CAL-R00030,R00030,linear,1/x^2,0.041805,0.000505,0.99869,accepted,8,
CAL-R00031,R00031,linear,1/x^2,0.04103,0.000647,0.99789,accepted,8,
CAL-R00032,R00032,linear,1/x^2,0.040759,0.00056,0.99895,accepted,8,
CAL-R00033,R00033,linear,1/x^2,0.041392,0.000553,0.99809,accepted,8,
CAL-R00034,R00034,linear,1/x^2,0.041507,0.000853,0.99896,accepted,8,
CAL-R00035,R00035,linear,1/x^2,0.040545,0.000879,0.99962,accepted,8,
CAL-R00036,R00036,linear,1/x^2,0.041182,0.000814,0.99966,accepted,8,
CAL-R00037,R00037,linear,1/x^2,0.041904,0.000686,0.99919,accepted,8,
CAL-R00038,R00038,linear,1/x^2,0.041645,0.000405,0.99833,accepted,8,
CAL-R00039,R00039,linear,1/x^2,0.041285,0.000514,0.99825,accepted,8,
CAL-R00040,R00040,linear,1/x^2,0.041481,0.00067,0.99829,accepted,8,
CAL-R00041,R00041,linear,1/x^2,0.041439,0.000579,0.99842,accepted,8,
CAL-R00042,R00042,linear,1/x^2,0.041277,0.000842,0.99795,accepted,8,
CAL-R00043,R00043,linear,1/x^2,0.041197,0.00045,0.99799,accepted,8,
CAL-R00044,R00044,linear,1/x^2,0.041178,0.000566,0.99874,accepted,8,
CAL-R00045,R00045,linear,1/x^2,0.0411,0.000354,0.99943,accepted,8,
CAL-R00046,R00046,linear,1/x^2,0.041626,0.000569,0.99865,accepted,8,
CAL-R00047,R00047,linear,1/x^2,0.041821,0.000406,0.99796,accepted,8,
CAL-R00048,R00048,linear,1/x^2,0.040863,0.000448,0.99745,accepted,8,
CAL-R00049,R00049,linear,1/x^2,0.041436,0.000746,0.99894,accepted,8,
CAL-R00050,R00050,linear,1/x^2,0.040642,0.000671,0.99734,accepted,8,
