calibration_id,level_name,nominal_value,back_calculated,percent_deviation,included
CAL-R00001,STD1,1.0,1.0341,3.414,1
CAL-R00001,STD2,2.2,2.1898,-0.465,1
CAL-R00001,STD3,4.84,4.7591,-1.672,1
CAL-R00001,STD4,10.648,10.5817,-0.623,1
CAL-R00001,STD5,23.4256,22.8515,-2.451,1
CAL-R00001,STD6,51.5363,49.8617,-3.249,1
CAL-R00001,STD7,113.3799,117.534,3.664,1
CAL-R00001,STD8,249.4358,245.7474,-1.479,1
CAL-R00002,STD1,0.5,0.5189,3.776,1
CAL-R00002,STD2,1.1,1.0978,-0.199,1
CAL-R00002,STD3,2.42,2.529,4.505,1
CAL-R00002,STD4,5.324,5.269,-1.033,1
CAL-R00002,STD5,11.7128,11.9089,1.674,1
CAL-R00002,STD6,25.7682,25.2313,-2.084,1
CAL-R00002,STD7,56.69,58.9054,3.908,1
CAL-R00002,STD8,124.7179,116.7366,-6.4,1
CAL-R00003,STD1,2.0,1.986,-0.698,1
CAL-R00003,STD2,4.4,4.5038,2.358,1
CAL-R00003,STD3,9.68,9.7295,0.512,1
CAL-R00003,STD4,21.296,21.9555,3.097,1
CAL-R00003,STD5,46.8512,48.1386,2.748,1
CAL-R00003,STD6,103.0726,96.8057,-6.08,1
CAL-R00003,STD7,226.7598,235.1643,3.706,1
CAL-R00003,STD8,498.8716,504.1573,1.06,1
CAL-R00004,STD1,1.0,0.947,-5.298,1
CAL-R00004,STD2,2.2,2.1778,-1.01,1
CAL-R00004,STD3,4.84,4.6464,-4.0,1
CAL-R00004,STD4,10.648,10.6764,0.267,1
CAL-R00004,STD5,23.4256,23.9567,2.267,1
CAL-R00004,STD6,51.5363,48.5854,-5.726,1
CAL-R00004,STD7,113.3799,104.1994,-8.097,1
CAL-R00004,STD8,249.4358,249.3853,-0.02,1
CAL-R00005,STD1,0.5,0.4782,-4.359,1
CAL-R00005,STD2,1.1,1.1196,1.782,1
CAL-R00005,STD3,2.42,2.3767,-1.787,1
CAL-R00005,STD4,5.324,5.3405,0.31,1
CAL-R00005,STD5,11.7128,12.0506,2.884,1
CAL-R00005,STD6,25.7682,24.6732,-4.249,1
CAL-R00005,STD7,56.69,58.8416,3.796,1
CAL-R00005,STD8,124.7179,122.265,-1.967,1
CAL-R00006,STD1,2.0,1.9773,-1.134,1
CAL-R00006,STD2,4.4,4.5167,2.652,1
CAL-R00006,STD3,9.68,9.5624,-1.215,1
CAL-R00006,STD4,21.296,22.277,4.606,1
CAL-R00006,STD5,46.8512,46.9363,0.182,1
