event_id,entity_type,entity_id,event_type,event_timestamp,description,ingest_id
EV-LOT-ASSAY_A-1,material,REF-ASSAY_A-02,new_reference_standard_lot,2025-08-04T08:00:00+00:00,New reference standard lot opened for ASSAY_A,
EV-LOT-ASSAY_B-1,material,REF-ASSAY_B-02,new_reference_standard_lot,2025-08-04T08:00:00+00:00,New reference standard lot opened for ASSAY_B,
EV-LOT-ASSAY_C-1,material,REF-ASSAY_C-02,new_reference_standard_lot,2025-08-04T08:00:00+00:00,New reference standard lot opened for ASSAY_C,
EV-PM-LCMS-01-0,instrument,LCMS-01,preventive_maintenance,2025-01-08T08:00:00+00:00,Scheduled PM including source clean,
EV-PM-LCMS-01-4,instrument,LCMS-01,preventive_maintenance,2025-05-08T08:00:00+00:00,Scheduled PM including source clean,
EV-PM-LCMS-01-8,instrument,LCMS-01,preventive_maintenance,2025-09-05T08:00:00+00:00,Scheduled PM including source clean,
EV-PM-LCMS-02-0,instrument,LCMS-02,preventive_maintenance,2025-01-11T08:00:00+00:00,Scheduled PM including source clean,
EV-PM-LCMS-02-4,instrument,LCMS-02,preventive_maintenance,2025-05-11T08:00:00+00:00,Scheduled PM including source clean,
EV-PM-LCMS-02-8,instrument,LCMS-02,preventive_maintenance,2025-09-08T08:00:00+00:00,Scheduled PM including source clean,
EV-PM-LCMS-03-0,instrument,LCMS-03,preventive_maintenance,2025-01-14T08:00:00+00:00,Scheduled PM including source clean,
EV-PM-LCMS-03-4,instrument,LCMS-03,preventive_maintenance,2025-05-14T08:00:00+00:00,Scheduled PM including source clean,
EV-PM-LCMS-03-8,instrument,LCMS-03,preventive_maintenance,2025-09-11T08:00:00+00:00,Scheduled PM including source clean,
EV-COL-0007,instrument,LCMS-03,column_replacement,2025-07-06T08:00:00+00:00,Analytical column replaced (ACQUITY BEH C18),
