run_id,qc_level,evaluation_type,nominal_value,measured_value,units,percent_bias,replicate_number,injection_index,analyte_area,is_area,area_ratio,retention_time,manual_integration,pass_fail,acceptance_limit_lower,acceptance_limit_upper,ingest_id,source_row
R00001,low_qc,quantitative,3.0,3.0987,ng/mL,3.291,1,1,155800.0,150835.9,1.03291,4.22,0,pass,-15.0,15.0,,synthetic:R00001:low_qc:1
R00001,low_qc,quantitative,3.0,2.831,ng/mL,-5.6321,2,2,147833.9,156657.1,0.94368,4.203,0,pass,-15.0,15.0,,synthetic:R00001:low_qc:2
R00001,mid_qc,quantitative,30.0,29.7125,ng/mL,-0.9582,1,3,149286.4,150730.7,0.99042,4.226,0,pass,-15.0,15.0,,synthetic:R00001:mid_qc:1
R00001,mid_qc,quantitative,30.0,30.8038,ng/mL,2.6793,2,4,155688.2,151625.7,1.02679,4.212,0,pass,-15.0,15.0,,synthetic:R00001:mid_qc:2
R00001,high_qc,quantitative,80.0,84.376,ng/mL,5.4701,1,5,159688.6,151406.6,1.0547,4.2,0,pass,-15.0,15.0,,synthetic:R00001:high_qc:1
R00001,high_qc,quantitative,80.0,82.7846,ng/mL,3.4807,2,6,151785.9,146680.3,1.03481,4.213,0,pass,-15.0,15.0,,synthetic:R00001:high_qc:2
R00002,low_qc,quantitative,1.5,1.5875,ng/mL,5.8362,1,1,164477.7,155407.8,1.05836,4.232,0,pass,-15.0,15.0,,synthetic:R00002:low_qc:1
R00002,low_qc,quantitative,1.5,1.614,ng/mL,7.6026,2,2,160286.3,148961.4,1.07603,4.188,0,pass,-15.0,15.0,,synthetic:R00002:low_qc:2
R00002,mid_qc,quantitative,75.0,78.0515,ng/mL,4.0687,1,3,145104.5,139431.5,1.04069,4.223,0,pass,-15.0,15.0,,synthetic:R00002:mid_qc:1
R00002,mid_qc,quantitative,75.0,79.6509,ng/mL,6.2012,2,4,154585.1,145558.6,1.06201,4.189,0,pass,-15.0,15.0,,synthetic:R00002:mid_qc:2
R00002,high_qc,quantitative,200.0,208.8563,ng/mL,4.4281,1,5,147340.1,141092.3,1.04428,4.229,0,pass,-15.0,15.0,,synthetic:R00002:high_qc:1
R00002,high_qc,quantitative,200.0,206.2303,ng/mL,3.1152,2,6,145404.6,141011.8,1.03115,4.213,0,pass,-15.0,15.0,,synthetic:R00002:high_qc:2
R00003,low_qc,quantitative,6.0,5.9616,ng/mL,-0.6404,1,1,148365.9,149322.1,0.9936,4.194,0,pass,-15.0,15.0,,synthetic:R00003:low_qc:1
R00003,low_qc,quantitative,6.0,5.7938,ng/mL,-3.4365,2,2,150075.6,155416.5,0.96563,4.254,0,pass,-15.0,15.0,,synthetic:R00003:low_qc:2
R00003,mid_qc,quantitative,150.0,145.4908,ng/mL,-3.0062,1,3,151384.5,156076.4,0.96994,4.229,0,pass,-15.0,15.0,,synthetic:R00003:mid_qc:1
R00003,mid_qc,quantitative,150.0,148.3324,ng/mL,-1.1118,2,4,145392.1,147026.7,0.98888,4.199,0,pass,-15.0,15.0,,synthetic:R00003:mid_qc:2
R00003,high_qc,quantitative,400.0,387.4609,ng/mL,-3.1348,1,5,139520.8,144036.0,0.96865,4.214,0,pass,-15.0,15.0,,synthetic:R00003:high_qc:1
R00003,high_qc,quantitative,400.0,401.1397,ng/mL,0.2849,2,6,149439.1,149014.5,1.00285,4.203,0,pass,-15.0,15.0,,synthetic:R00003:high_qc:2
R00004,low_qc,quantitative,3.0,2.9864,ng/mL,-0.4545,1,1,149345.9,150027.7,0.99545,4.22,0,pass,-15.0,15.0,,synthetic:R00004:low_qc:1
R00004,low_qc,quantitative,3.0,2.7912,ng/mL,-6.9613,2,2,134543.2,144609.9,0.93039,4.237,0,pass,-15.0,15.0,,synthetic:R00004:low_qc:2
R00004,mid_qc,quantitative,30.0,30.7601,ng/mL,2.5337,1,3,155384.5,151544.9,1.02534,4.186,0,pass,-15.0,15.0,,synthetic:R00004:mid_qc:1
R00004,mid_qc,quantitative,30.0,29.8976,ng/mL,-0.3413,2,4,147708.1,148214.0,0.99659,4.236,0,pass,-15.0,15.0,,synthetic:R00004:mid_qc:2
R00004,high_qc,quantitative,80.0,82.3386,ng/mL,2.9232,1,5,155658.1,151237.1,1.02923,4.19,0,pass,-15.0,15.0,,synthetic:R00004:high_qc:1
