run_id,material_id,role
R00001,REF-ASSAY_A-01,reference_standard
R00002,REF-ASSAY_B-01,reference_standard
R00003,REF-ASSAY_C-01,reference_standard
R00004,REF-ASSAY_A-01,reference_standard
R00005,REF-ASSAY_B-01,reference_standard
R00006,REF-ASSAY_C-01,reference_standard
R00007,REF-ASSAY_A-01,reference_standard
R00008,REF-ASSAY_B-01,reference_standard
R00009,REF-ASSAY_C-01,reference_standard
R00010,REF-ASSAY_A-01,reference_standard
R00011,REF-ASSAY_B-01,reference_standard
R00012,REF-ASSAY_C-01,reference_standard
R00013,REF-ASSAY_A-01,reference_standard
R00014,REF-ASSAY_B-01,reference_standard
R00015,REF-ASSAY_C-01,reference_standard
R00016,REF-ASSAY_A-01,reference_standard
R00017,REF-ASSAY_B-01,reference_standard
R00018,REF-ASSAY_C-01,reference_standard
R00019,REF-ASSAY_A-01,reference_standard
R00020,REF-ASSAY_B-01,reference_standard
R00021,REF-ASSAY_C-01,reference_standard
R00022,REF-ASSAY_A-01,reference_standard
R00023,REF-ASSAY_B-01,reference_standard
R00024,REF-ASSAY_C-01,reference_standard
R00025,REF-ASSAY_A-01,reference_standard
R00026,REF-ASSAY_B-01,reference_standard
R00027,REF-ASSAY_C-01,reference_standard
R00028,REF-ASSAY_A-01,reference_standard
R00029,REF-ASSAY_B-01,reference_standard
R00030,REF-ASSAY_C-01,reference_standard
R00031,REF-ASSAY_A-01,reference_standard
R00032,REF-ASSAY_B-01,reference_standard
R00033,REF-ASSAY_C-01,reference_standard
R00034,REF-ASSAY_A-01,reference_standard
R00035,REF-ASSAY_B-01,reference_standard
R00036,REF-ASSAY_C-01,reference_standard
R00037,REF-ASSAY_A-01,reference_standard
R00038,REF-ASSAY_B-01,reference_standard
R00039,REF-ASSAY_C-01,reference_standard
R00040,REF-ASSAY_A-01,reference_standard
R00041,REF-ASSAY_B-01,reference_standard
R00042,REF-ASSAY_C-01,reference_standard
R00043,REF-ASSAY_A-01,reference_standard
R00044,REF-ASSAY_B-01,reference_standard
R00045,REF-ASSAY_C-01,reference_standard
R00046,REF-ASSAY_A-01,reference_standard
R00047,REF-ASSAY_B-01,reference_standard
R00048,REF-ASSAY_C-01,reference_standard
R00049,REF-ASSAY_A-01,reference_standard
R00050,REF-ASSAY_B-01,reference_standard
R00051,REF-ASSAY_C-01,reference_standard
R00052,REF-ASSAY_A-01,reference_standard
R00053,REF-ASSAY_B-01,reference_standard
R00054,REF-ASSAY_C-01,reference_standard
R00055,REF-ASSAY_A-01,reference_standard
R00056,REF-ASSAY_B-01,reference_standard
R00057,REF-ASSAY_C-01,reference_standard
R00058,REF-ASSAY_A-01,reference_standard
R00059,REF-ASSAY_B-01,reference_standard
R00060,REF-ASSAY_C-01,reference_standard
R00061,REF-ASSAY_A-01,reference_standard
R00062,REF-ASSAY_B-01,reference_standard
R00063,REF-ASSAY_C-01,reference_standard
R00064,REF-ASSAY_A-01,reference_standard
R00065,REF-ASSAY_B-01,reference_standard
R00066,REF-ASSAY_C-01,reference_standard
R00067,REF-ASSAY_A-01,reference_standard
R00068,REF-ASSAY_B-01,reference_standard
R00069,REF-ASSAY_C-01,reference_standard
R00070,REF-ASSAY_A-01,reference_standard
R00071,REF-ASSAY_B-01,reference_standard
R00072,REF-ASSAY_C-01,reference_standard
R00073,REF-ASSAY_A-01,reference_standard
R00074,REF-ASSAY_B-01,reference_standard
R00075,REF-ASSAY_C-01,reference_standard
R00076,REF-ASSAY_A-01,reference_standard
R00077,REF-ASSAY_B-01,reference_standard
R00078,REF-ASSAY_C-01,reference_standard
R00079,REF-ASSAY_A-01,reference_standard
R00080,REF-ASSAY_B-01,reference_standard
R00081,REF-ASSAY_C-01,reference_standard
R00082,REF-ASSAY_A-01,reference_standard
R00083,REF-ASSAY_B-01,reference_standard
R00084,REF-ASSAY_C-01,reference_standard
R00085,REF-ASSAY_A-01,reference_standard
R00086,REF-ASSAY_B-01,reference_standard
R00087,REF-ASSAY_C-01,reference_standard
R00088,REF-ASSAY_A-01,reference_standard
R00089,REF-ASSAY_B-01,reference_standard
R00090,REF-ASSAY_C-01,reference_standard
R00091,REF-ASSAY_A-01,reference_standard
R00092,REF-ASSAY_B-01,reference_standard
R00093,REF-ASSAY_C-01,reference_standard
R00094,REF-ASSAY_A-01,reference_standard
R00095,REF-ASSAY_B-01,reference_standard
R00096,REF-ASSAY_C-01,reference_standard
R00097,REF-ASSAY_A-01,reference_standard
R00098,REF-ASSAY_B-01,reference_standard
R00099,REF-ASSAY_C-01,reference_standard
R00100,REF-ASSAY_A-01,reference_standard
R00101,REF-ASSAY_B-01,reference_standard
R00102,REF-ASSAY_C-01,reference_standard
R00103,REF-ASSAY_A-01,reference_standard
R00104,REF-ASSAY_B-01,reference_standard
R00105,REF-ASSAY_C-01,reference_standard
R00106,REF-ASSAY_A-01,reference_standard
R00107,REF-ASSAY_B-01,reference_standard
R00108,REF-ASSAY_C-01,reference_standard
R00109,REF-ASSAY_A-01,reference_standard
R00110,REF-ASSAY_B-01,reference_standard
R00111,REF-ASSAY_C-01,reference_standard
R00112,REF-ASSAY_A-01,reference_standard
R00113,REF-ASSAY_B-01,reference_standard
R00114,REF-ASSAY_C-01,reference_standard
R00115,REF-ASSAY_A-01,reference_standard
R00116,REF-ASSAY_B-01,reference_standard
R00117,REF-ASSAY_C-01,reference_standard
R00118,REF-ASSAY_A-01,reference_standard
R00119,REF-ASSAY_B-01,reference_standard
R00120,REF-ASSAY_C-01,reference_standard
R00121,REF-ASSAY_A-01,reference_standard
R00122,REF-ASSAY_B-01,reference_standard
R00123,REF-ASSAY_C-01,reference_standard
R00124,REF-ASSAY_A-01,reference_standard
R00125,REF-ASSAY_B-01,reference_standard
R00126,REF-ASSAY_C-01,reference_standard
R00127,REF-ASSAY_A-01,reference_standard
R00128,REF-ASSAY_B-01,reference_standard
R00129,REF-ASSAY_C-01,reference_standard
R00130,REF-ASSAY_A-01,reference_standard
R00131,REF-ASSAY_B-01,reference_standard
R00132,REF-ASSAY_C-01,reference_standard
R00133,REF-ASSAY_A-01,reference_standard
R00134,REF-ASSAY_B-01,reference_standard
R00135,REF-ASSAY_C-01,reference_standard
R00136,REF-ASSAY_A-01,reference_standard
R00137,REF-ASSAY_B-01,reference_standard
R00138,REF-ASSAY_C-01,reference_standard
R00139,REF-ASSAY_A-01,reference_standard
R00140,REF-ASSAY_B-01,reference_standard
R00141,REF-ASSAY_C-01,reference_standard
R00142,REF-ASSAY_A-01,reference_standard
R00143,REF-ASSAY_B-01,reference_standard
R00144,REF-ASSAY_C-01,reference_standard
R00145,REF-ASSAY_A-01,reference_standard
R00146,REF-ASSAY_B-01,reference_standard
R00147,REF-ASSAY_C-01,reference_standard
R00148,REF-ASSAY_A-01,reference_standard
R00149,REF-ASSAY_B-01,reference_standard
R00150,REF-ASSAY_C-01,reference_standard
R00151,REF-ASSAY_A-01,reference_standard
R00152,REF-ASSAY_B-01,reference_standard
R00153,REF-ASSAY_C-01,reference_standard
R00154,REF-ASSAY_A-01,reference_standard
R00155,REF-ASSAY_B-01,reference_standard
R00156,REF-ASSAY_C-01,reference_standard
R00157,REF-ASSAY_A-01,reference_standard
R00158,REF-ASSAY_B-01,reference_standard
R00159,REF-ASSAY_C-01,reference_standard
R00160,REF-ASSAY_A-01,reference_standard
R00161,REF-ASSAY_B-01,reference_standard
R00162,REF-ASSAY_C-01,reference_standard
R00163,REF-ASSAY_A-01,reference_standard
R00164,REF-ASSAY_B-01,reference_standard
R00165,REF-ASSAY_C-01,reference_standard
R00166,REF-ASSAY_A-01,reference_standard
R00167,REF-ASSAY_B-01,reference_standard
R00168,REF-ASSAY_C-01,reference_standard
