run_id,method_id,instrument_id,study_id,acquisition_timestamp,run_type,acceptance_status,acceptance_reason,column_id,column_injection_count,processing_method_version,analyst_ref,ingest_id,source_row
R00001,ASSAY_A,LCMS-01,STUDY-2025-01,2025-01-06T08:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-02,,synthetic:R00001
R00002,ASSAY_B,LCMS-02,STUDY-2025-01,2025-01-06T10:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-03,,synthetic:R00002
R00003,ASSAY_C,LCMS-03,STUDY-2025-01,2025-01-06T12:00:00+00:00,sample_analysis,accepted,,COL-0007,40,1.0,ANALYST-04,,synthetic:R00003
R00004,ASSAY_A,LCMS-02,STUDY-2025-01,2025-01-10T14:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-01,,synthetic:R00004
R00005,ASSAY_B,LCMS-03,STUDY-2025-01,2025-01-10T16:00:00+00:00,sample_analysis,accepted,,COL-0007,40,1.0,ANALYST-02,,synthetic:R00005
R00006,ASSAY_C,LCMS-01,STUDY-2025-01,2025-01-10T08:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-03,,synthetic:R00006
R00007,ASSAY_A,LCMS-03,STUDY-2025-01,2025-01-14T10:00:00+00:00,sample_analysis,accepted,,COL-0007,40,1.0,ANALYST-04,,synthetic:R00007
R00008,ASSAY_B,LCMS-01,STUDY-2025-01,2025-01-14T12:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-01,,synthetic:R00008
R00009,ASSAY_C,LCMS-02,STUDY-2025-01,2025-01-14T14:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-02,,synthetic:R00009
R00010,ASSAY_A,LCMS-01,STUDY-2025-01,2025-01-18T16:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-03,,synthetic:R00010
R00011,ASSAY_B,LCMS-02,STUDY-2025-01,2025-01-18T08:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-04,,synthetic:R00011
R00012,ASSAY_C,LCMS-03,STUDY-2025-01,2025-01-18T10:00:00+00:00,sample_analysis,accepted,,COL-0007,40,1.0,ANALYST-01,,synthetic:R00012
R00013,ASSAY_A,LCMS-02,STUDY-2025-01,2025-01-22T12:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-02,,synthetic:R00013
R00014,ASSAY_B,LCMS-03,STUDY-2025-01,2025-01-22T14:00:00+00:00,sample_analysis,accepted,,COL-0007,40,1.0,ANALYST-03,,synthetic:R00014
R00015,ASSAY_C,LCMS-01,STUDY-2025-01,2025-01-22T16:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-04,,synthetic:R00015
R00016,ASSAY_A,LCMS-03,STUDY-2025-01,2025-01-26T08:00:00+00:00,sample_analysis,accepted,,COL-0007,40,1.0,ANALYST-01,,synthetic:R00016
R00017,ASSAY_B,LCMS-01,STUDY-2025-01,2025-01-26T10:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-02,,synthetic:R00017
R00018,ASSAY_C,LCMS-02,STUDY-2025-01,2025-01-26T12:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-03,,synthetic:R00018
R00019,ASSAY_A,LCMS-01,STUDY-2025-01,2025-01-30T14:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-04,,synthetic:R00019
R00020,ASSAY_B,LCMS-02,STUDY-2025-01,2025-01-30T16:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-01,,synthetic:R00020
R00021,ASSAY_C,LCMS-03,STUDY-2025-01,2025-01-30T08:00:00+00:00,sample_analysis,accepted,,COL-0007,40,1.0,ANALYST-02,,synthetic:R00021
R00022,ASSAY_A,LCMS-02,STUDY-2025-01,2025-02-03T10:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-03,,synthetic:R00022
R00023,ASSAY_B,LCMS-03,STUDY-2025-01,2025-02-03T12:00:00+00:00,sample_analysis,accepted,,COL-0007,40,1.0,ANALYST-04,,synthetic:R00023
R00024,ASSAY_C,LCMS-01,STUDY-2025-01,2025-02-03T14:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-01,,synthetic:R00024
R00025,ASSAY_A,LCMS-03,STUDY-2025-01,2025-02-07T16:00:00+00:00,sample_analysis,accepted,,COL-0007,40,1.0,ANALYST-02,,synthetic:R00025
R00026,ASSAY_B,LCMS-01,STUDY-2025-01,2025-02-07T08:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-03,,synthetic:R00026
R00027,ASSAY_C,LCMS-02,STUDY-2025-01,2025-02-07T10:00:00+00:00,sample_analysis,accepted,,,40,1.0,ANALYST-04,,synthetic:R00027
R00028,ASSAY_A,LCMS-01,STUDY-2025-01,2025-02-05T12:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-01,,synthetic:R00028
R00029,ASSAY_B,LCMS-02,STUDY-2025-01,2025-02-05T14:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-02,,synthetic:R00029
R00030,ASSAY_C,LCMS-03,STUDY-2025-01,2025-02-05T16:00:00+00:00,sample_analysis,accepted,,COL-0007,80,1.0,ANALYST-03,,synthetic:R00030
R00031,ASSAY_A,LCMS-02,STUDY-2025-01,2025-02-09T08:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-04,,synthetic:R00031
R00032,ASSAY_B,LCMS-03,STUDY-2025-01,2025-02-09T10:00:00+00:00,sample_analysis,accepted,,COL-0007,80,1.0,ANALYST-01,,synthetic:R00032
R00033,ASSAY_C,LCMS-01,STUDY-2025-01,2025-02-09T12:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-02,,synthetic:R00033
R00034,ASSAY_A,LCMS-03,STUDY-2025-01,2025-02-13T14:00:00+00:00,sample_analysis,accepted,,COL-0007,80,1.0,ANALYST-03,,synthetic:R00034
R00035,ASSAY_B,LCMS-01,STUDY-2025-01,2025-02-13T16:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-04,,synthetic:R00035
R00036,ASSAY_C,LCMS-02,STUDY-2025-01,2025-02-13T08:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-01,,synthetic:R00036
R00037,ASSAY_A,LCMS-01,STUDY-2025-01,2025-02-17T10:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-02,,synthetic:R00037
R00038,ASSAY_B,LCMS-02,STUDY-2025-01,2025-02-17T12:00:00+00:00,sample_analysis,accepted,one or more QC replicates outside limits,,80,1.0,ANALYST-03,,synthetic:R00038
R00039,ASSAY_C,LCMS-03,STUDY-2025-01,2025-02-17T14:00:00+00:00,sample_analysis,accepted,,COL-0007,80,1.0,ANALYST-04,,synthetic:R00039
R00040,ASSAY_A,LCMS-02,STUDY-2025-01,2025-02-21T16:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-01,,synthetic:R00040
R00041,ASSAY_B,LCMS-03,STUDY-2025-01,2025-02-21T08:00:00+00:00,sample_analysis,accepted,,COL-0007,80,1.0,ANALYST-02,,synthetic:R00041
R00042,ASSAY_C,LCMS-01,STUDY-2025-01,2025-02-21T10:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-03,,synthetic:R00042
R00043,ASSAY_A,LCMS-03,STUDY-2025-01,2025-02-25T12:00:00+00:00,sample_analysis,accepted,,COL-0007,80,1.0,ANALYST-04,,synthetic:R00043
R00044,ASSAY_B,LCMS-01,STUDY-2025-01,2025-02-25T14:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-01,,synthetic:R00044
R00045,ASSAY_C,LCMS-02,STUDY-2025-01,2025-02-25T16:00:00+00:00,sample_analysis,accepted,one or more QC replicates outside limits,,80,1.0,ANALYST-02,,synthetic:R00045
R00046,ASSAY_A,LCMS-01,STUDY-2025-01,2025-03-01T08:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-03,,synthetic:R00046
R00047,ASSAY_B,LCMS-02,STUDY-2025-01,2025-03-01T10:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-04,,synthetic:R00047
R00048,ASSAY_C,LCMS-03,STUDY-2025-01,2025-03-01T12:00:00+00:00,sample_analysis,accepted,,COL-0007,80,1.0,ANALYST-01,,synthetic:R00048
R00049,ASSAY_A,LCMS-02,STUDY-2025-01,2025-03-05T14:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-02,,synthetic:R00049
R00050,ASSAY_B,LCMS-03,STUDY-2025-01,2025-03-05T16:00:00+00:00,sample_analysis,accepted,,COL-0007,80,1.0,ANALYST-03,,synthetic:R00050
R00051,ASSAY_C,LCMS-01,STUDY-2025-01,2025-03-05T08:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-04,,synthetic:R00051
R00052,ASSAY_A,LCMS-03,STUDY-2025-01,2025-03-09T10:00:00+00:00,sample_analysis,accepted,,COL-0007,80,1.0,ANALYST-01,,synthetic:R00052
R00053,ASSAY_B,LCMS-01,STUDY-2025-01,2025-03-09T12:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-02,,synthetic:R00053
