run_id,calibration_model,weighting,slope,intercept,r_squared,number_of_calibrators,calibrators_accepted,calibration_status
R001,linear,1/x^2,0.004238,0.000279,0.998,8,8,accepted
R002,linear,1/x^2,0.004016,0.000278,0.9978,8,8,accepted
R003,linear,1/x^2,0.004192,0.000172,0.9967,8,8,accepted
R004,linear,1/x^2,0.004199,0.000244,0.9984,8,8,accepted
R005,linear,1/x^2,0.004061,0.000262,0.9991,8,8,accepted
R006,linear,1/x^2,0.004009,0.000128,0.999,8,8,accepted
R007,linear,1/x^2,0.004166,0.000255,0.9981,8,8,accepted
R008,linear,1/x^2,0.004013,0.000151,0.9962,8,8,accepted
R009,linear,1/x^2,0.004045,7.1e-05,0.9968,8,8,accepted
R010,linear,1/x^2,0.004257,0.000311,0.9986,8,8,accepted
R011,linear,1/x^2,0.004162,0.000174,0.9961,8,8,accepted
R012,linear,1/x^2,0.003851,0.00026,0.9992,8,7,accepted
R013,linear,1/x^2,0.004059,0.000219,0.9965,8,8,accepted
R014,linear,1/x^2,0.003993,0.000231,0.9982,8,8,accepted
R015,linear,1/x^2,0.004087,0.000216,0.9969,8,8,accepted
R016,linear,1/x^2,0.004099,0.00023,0.9964,8,8,accepted
R017,linear,1/x^2,0.004392,0.000203,0.9979,8,8,accepted
R018,linear,1/x^2,0.004064,0.000271,0.9992,8,8,accepted
