run_id,level_name,nominal_value,back_calculated,percent_deviation,included,units
R001,STD-1,1.0,1.1058,10.58,1,ng/mL
R001,STD-2,2.0,1.9502,-2.49,1,ng/mL
R001,STD-3,5.0,5.4675,9.35,1,ng/mL
R001,STD-4,20.0,19.86,-0.7,1,ng/mL
R001,STD-5,50.0,51.7,3.39,1,ng/mL
R001,STD-6,150.0,139.76,-6.83,1,ng/mL
R001,STD-7,350.0,319.31,-8.77,1,ng/mL
R001,STD-8,500.0,499.6,-0.08,1,ng/mL
R002,STD-1,1.0,0.9486,-5.14,1,ng/mL
R002,STD-2,2.0,1.9515,-2.43,1,ng/mL
R002,STD-3,5.0,4.8761,-2.48,1,ng/mL
R002,STD-4,20.0,19.97,-0.14,1,ng/mL
R002,STD-5,50.0,52.86,5.72,1,ng/mL
R002,STD-6,150.0,148.09,-1.28,1,ng/mL
R002,STD-7,350.0,362.98,3.71,1,ng/mL
R002,STD-8,500.0,512.17,2.43,1,ng/mL
R003,STD-1,1.0,0.9809,-1.91,1,ng/mL
R003,STD-2,2.0,1.9188,-4.06,1,ng/mL
R003,STD-3,5.0,4.8021,-3.96,1,ng/mL
R003,STD-4,20.0,19.03,-4.83,1,ng/mL
R003,STD-5,50.0,51.05,2.1,1,ng/mL
R003,STD-6,150.0,136.8,-8.8,1,ng/mL
R003,STD-7,350.0,336.11,-3.97,1,ng/mL
R003,STD-8,500.0,500.76,0.15,1,ng/mL
R004,STD-1,1.0,1.0171,1.71,1,ng/mL
R004,STD-2,2.0,1.8566,-7.17,1,ng/mL
R004,STD-3,5.0,5.2544,5.09,1,ng/mL
R004,STD-4,20.0,21.35,6.77,1,ng/mL
R004,STD-5,50.0,49.64,-0.73,1,ng/mL
R004,STD-6,150.0,159.4,6.27,1,ng/mL
R004,STD-7,350.0,355.49,1.57,1,ng/mL
R004,STD-8,500.0,501.07,0.21,1,ng/mL
R005,STD-1,1.0,0.965,-3.5,1,ng/mL
R005,STD-2,2.0,1.9633,-1.83,1,ng/mL
R005,STD-3,5.0,5.1427,2.85,1,ng/mL
R005,STD-4,20.0,19.56,-2.22,1,ng/mL
R005,STD-5,50.0,53.23,6.46,1,ng/mL
R005,STD-6,150.0,148.51,-1.0,1,ng/mL
R005,STD-7,350.0,358.05,2.3,1,ng/mL
R005,STD-8,500.0,494.07,-1.19,1,ng/mL
R006,STD-1,1.0,0.9168,-8.32,1,ng/mL
R006,STD-2,2.0,1.9578,-2.11,1,ng/mL
R006,STD-3,5.0,5.0609,1.22,1,ng/mL
R006,STD-4,20.0,18.37,-8.17,1,ng/mL
R006,STD-5,50.0,49.5,-1.0,1,ng/mL
R006,STD-6,150.0,151.01,0.67,1,ng/mL
R006,STD-7,350.0,323.46,-7.58,1,ng/mL
R006,STD-8,500.0,471.0,-5.8,1,ng/mL
R007,STD-1,1.0,0.9678,-3.22,1,ng/mL
R007,STD-2,2.0,2.0021,0.1,1,ng/mL
R007,STD-3,5.0,4.9686,-0.63,1,ng/mL
R007,STD-4,20.0,18.36,-8.22,1,ng/mL
R007,STD-5,50.0,47.78,-4.44,1,ng/mL
R007,STD-6,150.0,153.57,2.38,1,ng/mL
R007,STD-7,350.0,338.53,-3.28,1,ng/mL
R007,STD-8,500.0,508.43,1.69,1,ng/mL
R008,STD-1,1.0,0.994,-0.6,1,ng/mL
R008,STD-2,2.0,2.0183,0.92,1,ng/mL
R008,STD-3,5.0,5.261,5.22,1,ng/mL
R008,STD-4,20.0,20.76,3.78,1,ng/mL
R008,STD-5,50.0,52.96,5.92,1,ng/mL
R008,STD-6,150.0,152.73,1.82,1,ng/mL
R008,STD-7,350.0,364.84,4.24,1,ng/mL
R008,STD-8,500.0,523.85,4.77,1,ng/mL
R009,STD-1,1.0,1.0849,8.49,1,ng/mL
R009,STD-2,2.0,1.9918,-0.41,1,ng/mL
R009,STD-3,5.0,5.0737,1.47,1,ng/mL
R009,STD-4,20.0,20.56,2.8,1,ng/mL
R009,STD-5,50.0,52.66,5.32,1,ng/mL
R009,STD-6,150.0,147.74,-1.5,1,ng/mL
R009,STD-7,350.0,346.25,-1.07,1,ng/mL
R009,STD-8,500.0,513.72,2.74,1,ng/mL
R010,STD-1,1.0,0.9962,-0.38,1,ng/mL
R010,STD-2,2.0,2.0659,3.3,1,ng/mL
R010,STD-3,5.0,4.8792,-2.42,1,ng/mL
R010,STD-4,20.0,19.22,-3.88,1,ng/mL
R010,STD-5,50.0,50.19,0.38,1,ng/mL
R010,STD-6,150.0,150.68,0.45,1,ng/mL
R010,STD-7,350.0,346.09,-1.12,1,ng/mL
R010,STD-8,500.0,501.41,0.28,1,ng/mL
R011,STD-1,1.0,0.9122,-8.78,1,ng/mL
R011,STD-2,2.0,1.9326,-3.37,1,ng/mL
R011,STD-3,5.0,5.2396,4.79,1,ng/mL
R011,STD-4,20.0,20.84,4.2,1,ng/mL
R011,STD-5,50.0,53.2,6.4,1,ng/mL
R011,STD-6,150.0,150.0,0.0,1,ng/mL
R011,STD-7,350.0,342.06,-2.27,1,ng/mL
R011,STD-8,500.0,484.93,-3.01,1,ng/mL
R012,STD-1,1.0,0.983,-1.7,1,ng/mL
R012,STD-2,2.0,1.9853,-0.74,1,ng/mL
R012,STD-3,5.0,4.8843,-2.31,1,ng/mL
R012,STD-4,20.0,20.44,2.19,1,ng/mL
R012,STD-5,50.0,49.55,-0.91,1,ng/mL
R012,STD-6,150.0,180.6,20.4,0,ng/mL
R012,STD-7,350.0,347.53,-0.7,1,ng/mL
R012,STD-8,500.0,482.94,-3.41,1,ng/mL
R013,STD-1,1.0,1.1205,12.05,1,ng/mL
R013,STD-2,2.0,1.7741,-11.29,1,ng/mL
R013,STD-3,5.0,4.99,-0.2,1,ng/mL
R013,STD-4,20.0,20.26,1.3,1,ng/mL
R013,STD-5,50.0,53.28,6.55,1,ng/mL
R013,STD-6,150.0,165.56,10.37,1,ng/mL
R013,STD-7,350.0,333.42,-4.74,1,ng/mL
R013,STD-8,500.0,453.98,-9.2,1,ng/mL
R014,STD-1,1.0,1.0489,4.89,1,ng/mL
R014,STD-2,2.0,2.0598,2.99,1,ng/mL
R014,STD-3,5.0,5.1169,2.34,1,ng/mL
R014,STD-4,20.0,19.03,-4.83,1,ng/mL
R014,STD-5,50.0,45.4,-9.21,1,ng/mL
R014,STD-6,150.0,155.57,3.71,1,ng/mL
R014,STD-7,350.0,360.53,3.01,1,ng/mL
R014,STD-8,500.0,491.43,-1.71,1,ng/mL
R015,STD-1,1.0,0.9828,-1.72,1,ng/mL
R015,STD-2,2.0,2.1357,6.79,1,ng/mL
R015,STD-3,5.0,4.9743,-0.51,1,ng/mL
R015,STD-4,20.0,19.77,-1.17,1,ng/mL
R015,STD-5,50.0,50.35,0.71,1,ng/mL
R015,STD-6,150.0,150.75,0.5,1,ng/mL
R015,STD-7,350.0,352.51,0.72,1,ng/mL
R015,STD-8,500.0,481.15,-3.77,1,ng/mL
R016,STD-1,1.0,0.9848,-1.52,1,ng/mL
R016,STD-2,2.0,1.8824,-5.88,1,ng/mL
R016,STD-3,5.0,5.4411,8.82,1,ng/mL
R016,STD-4,20.0,19.26,-3.71,1,ng/mL
R016,STD-5,50.0,51.73,3.46,1,ng/mL
R016,STD-6,150.0,150.62,0.41,1,ng/mL
R016,STD-7,350.0,359.38,2.68,1,ng/mL
R016,STD-8,500.0,450.61,-9.88,1,ng/mL
R017,STD-1,1.0,0.9712,-2.88,1,ng/mL
R017,STD-2,2.0,1.9281,-3.59,1,ng/mL
R017,STD-3,5.0,4.6914,-6.17,1,ng/mL
R017,STD-4,20.0,20.86,4.28,1,ng/mL
R017,STD-5,50.0,51.48,2.96,1,ng/mL
