run_id,study_id,method_id,instrument_id,analyst_ref,acquisition_timestamp,run_type,acceptance_status,acceptance_reason
R001,BE-2026-014,MTX-207-PL-01,LCMS-05,A-04,2026-03-02T08:15:00,study sample analysis,accepted,
R002,BE-2026-014,MTX-207-PL-01,LCMS-04,A-23,2026-03-03T08:15:00,study sample analysis,accepted,
R003,BE-2026-014,MTX-207-PL-01,LCMS-05,A-17,2026-03-05T08:15:00,study sample analysis,accepted,
R004,BE-2026-014,MTX-207-PL-01,LCMS-04,A-04,2026-03-06T08:15:00,study sample analysis,accepted,
R005,BE-2026-014,MTX-207-PL-01,LCMS-05,A-23,2026-03-08T08:15:00,study sample analysis,accepted,
R006,BE-2026-014,MTX-207-PL-01,LCMS-04,A-17,2026-03-10T08:15:00,study sample analysis,accepted,
R007,BE-2026-014,MTX-207-PL-01,LCMS-05,A-04,2026-03-11T08:15:00,study sample analysis,rejected,Both Mid QC replicates and one High QC replicate outside +/-15% of nominal; fewer than 2/3 of QC results acceptable
R008,BE-2026-014,MTX-207-PL-01,LCMS-04,A-23,2026-03-13T08:15:00,study sample analysis,accepted,
R009,BE-2026-014,MTX-207-PL-01,LCMS-05,A-17,2026-03-14T08:15:00,study sample analysis,accepted,
R010,BE-2026-014,MTX-207-PL-01,LCMS-04,A-04,2026-03-16T08:15:00,study sample analysis,accepted,
R011,BE-2026-014,MTX-207-PL-01,LCMS-05,A-23,2026-03-18T08:15:00,study sample analysis,accepted,
R012,BE-2026-014,MTX-207-PL-01,LCMS-04,A-17,2026-03-19T08:15:00,study sample analysis,accepted,
R013,BE-2026-014,MTX-207-PL-01,LCMS-05,A-04,2026-03-21T08:15:00,study sample analysis,accepted,
R014,BE-2026-014,MTX-207-PL-01,LCMS-04,A-23,2026-03-22T08:15:00,study sample analysis,accepted,
R015,BE-2026-014,MTX-207-PL-01,LCMS-05,A-17,2026-03-24T08:15:00,study sample analysis,accepted,
R016,BE-2026-014,MTX-207-PL-01,LCMS-04,A-04,2026-03-26T08:15:00,study sample analysis,accepted,
R017,BE-2026-014,MTX-207-PL-01,LCMS-05,A-23,2026-03-27T08:15:00,study sample analysis,accepted,
R018,BE-2026-014,MTX-207-PL-01,LCMS-04,A-17,2026-03-29T08:15:00,study sample analysis,accepted,
