Batch Identifier,Test Name,Result,Result Date
MB-001,yield_percent,"82,91 %",2026-02-01
MB-001,moisture_percent,"13,93 %",2026-02-01
MB-001,color_index,"1,332",2026-02-01
MB002,yield_percent,69.38 %,2026-02-02
MB002,moisture_percent,12.23 %,2026-02-02
MB002,color_index,1.417,2026-02-02
MB003,yield_percent,77.77 %,2026-02-03
MB003,moisture_percent,12.23 %,2026-02-03
MB003,color_index,1.451,2026-02-03
MB004,yield_percent,74.25 %,2026-02-04
MB004,moisture_percent,12.27 %,2026-02-04
MB004,color_index,1.557,2026-02-04
MB005,yield_percent,"47,94 %",2026-02-05
MB005,moisture_percent,"11,14 %",2026-02-05
MB005,color_index,"1,758",2026-02-05
MB006,yield_percent,65.69 %,2026-02-06
MB006,moisture_percent,11.85 %,2026-02-06
MB006,color_index,1.935,2026-02-06
MB-007,yield_percent,81.65 %,2026-02-07
MB-007,moisture_percent,11.85 %,2026-02-07
MB-007,color_index,1.635,2026-02-07
MB008,yield_percent,80.22 %,2026-02-08
MB008,moisture_percent,12.38 %,2026-02-08
MB008,color_index,1.449,2026-02-08
MB009,yield_percent,"81,50 %",2026-02-09
MB009,moisture_percent,"13,00 %",2026-02-09
MB009,color_index,"1,564",2026-02-09
MB010,yield_percent,74.41 %,2026-02-10
MB010,moisture_percent,10.94 %,2026-02-10
MB010,color_index,1.591,2026-02-10
MB011,yield_percent,77.31 %,2026-02-11
MB011,moisture_percent,11.87 %,2026-02-11
MB011,color_index,1.569,2026-02-11
 mb012 ,yield_percent,75.76 %,2026-02-12
 mb012 ,moisture_percent,14.45 %,2026-02-12
 mb012 ,color_index,1.611,2026-02-12
MB-013,yield_percent,"79,47 %",2026-02-13
MB-013,moisture_percent,"13,28 %",2026-02-13
MB-013,color_index,"1,585",2026-02-13
MB014,yield_percent,72.41 %,2026-02-14
MB014,moisture_percent,11.18 %,2026-02-14
MB014,color_index,1.597,2026-02-14
MB015,yield_percent,81.53 %,2026-02-15
MB015,moisture_percent,12.20 %,2026-02-15
MB015,color_index,1.673,2026-02-15
MB016,yield_percent,71.48 %,2026-02-16
MB016,moisture_percent,12.84 %,2026-02-16
MB016,color_index,1.503,2026-02-16
MB017,yield_percent,"79,49 %",2026-02-17
MB017,moisture_percent,"12,01 %",2026-02-17
MB017,color_index,"1,532",2026-02-17
MB018,yield_percent,72.88 %,2026-02-18
MB018,moisture_percent,13.33 %,2026-02-18
MB018,color_index,1.966,2026-02-18
MB-019,yield_percent,77.63 %,2026-02-19
MB-019,moisture_percent,14.42 %,2026-02-19
MB-019,color_index,1.630,2026-02-19
MB020,yield_percent,77.67 %,2026-02-20
MB020,moisture_percent,12.84 %,2026-02-20
MB020,color_index,1.699,2026-02-20
MB021,yield_percent,"82,19 %",2026-02-21
MB021,moisture_percent,"12,55 %",2026-02-21
MB021,color_index,"1,557",2026-02-21
MB022,yield_percent,76.29 %,2026-02-22
MB022,moisture_percent,14.33 %,2026-02-22
MB022,color_index,1.685,2026-02-22
