batch_id,moisture_percent,purity_percent,yield_percent,residual_naoh_ppm,color_index
MS001,12.008,94.266,82.881,229.707,1.578
MS002,11.323,96.927,84.64,106.814,1.437
MS003,14.782,91.339,73.961,311.712,2.291
MS004,12.739,99.16,83.184,163.217,1.618
MS005,12.172,95.293,78.928,152.802,1.778
MS006,12.271,96.418,78.68,120.168,1.817
MS007,12.989,97.223,83.587,142.729,1.414
MS008,15.583,97.1,80.232,137.842,1.221
MS009,19.395,97.559,78.154,204.969,1.417
MS010,14.977,98.518,81.309,64.909,1.557
MS011,11.59,98.688,83.142,103.744,1.499
MS012,11.298,88.661,75.035,279.355,2.35
MS013,11.419,93.106,81.173,267.622,1.354
MS014,12.906,97.192,80.379,215.272,1.729
MS015,20.623,86.0,68.548,277.468,3.252
MS016,12.026,98.245,81.392,113.357,1.26
MS017,14.175,88.259,79.914,457.814,2.123
MS018,10.743,97.389,76.284,187.126,1.619
MS019,12.41,97.369,75.967,138.909,1.91
MS020,12.617,97.805,80.451,101.073,1.48
MS021,23.421,86.0,67.523,261.604,3.311
MS022,19.727,96.483,78.811,150.378,1.614
MS023,13.299,89.073,77.897,360.993,1.931
MS024,12.876,93.924,76.298,288.15,1.698
MS025,13.005,95.847,78.285,132.461,1.635
MS026,13.186,98.076,79.325,84.128,1.354
MS027,15.633,92.331,71.712,346.28,1.95
MS028,13.788,94.812,78.038,229.52,1.961
MS029,18.981,97.337,80.243,76.924,1.425
MS030,13.157,99.345,81.26,135.984,1.306
MS031,12.616,97.99,78.184,111.059,1.659
MS032,12.454,91.109,79.294,200.465,2.506
MS033,12.205,92.749,80.528,303.079,1.638
MS034,11.434,86.0,74.226,333.245,3.252
MS035,12.504,97.959,83.669,167.7,1.61
MS036,13.519,86.0,72.815,543.806,2.734
MS037,12.032,95.554,85.195,224.892,1.46
MS038,15.287,88.564,71.879,455.898,2.518
MS039,9.688,94.125,81.373,165.838,1.995
MS040,13.938,98.206,81.338,159.549,1.579
MS041,19.318,98.499,80.19,183.445,1.203
MS042,15.606,93.247,79.329,156.801,1.94
MS043,14.496,91.038,74.156,386.517,1.833
MS044,10.849,98.485,79.197,125.654,1.702
MS045,12.688,96.453,80.857,231.045,1.557
MS046,13.667,97.338,82.651,113.053,1.776
MS047,17.224,97.386,83.912,103.128,1.477
MS048,13.908,86.0,67.042,312.008,3.237
MS049,15.538,86.0,68.444,671.191,2.285
MS050,12.565,96.696,80.304,158.822,1.784
MS051,12.87,99.155,83.684,138.501,1.205
MS052,12.87,97.3,81.43,29.513,1.442
MS053,11.686,98.252,83.21,131.023,1.902
MS054,11.888,98.526,84.646,107.931,1.677
MS055,13.226,96.964,80.557,90.854,2.047
MS056,13.769,97.13,81.307,180.326,1.625
MS057,13.594,86.0,69.893,268.713,3.43
MS058,12.01,90.407,78.738,264.428,2.21
MS059,12.793,97.725,83.415,152.133,1.335
MS060,13.317,95.433,77.858,201.343,2.388
MS061,12.495,98.298,79.639,158.236,1.265
MS062,12.465,97.228,81.23,194.492,1.267
MS063,14.497,98.632,76.367,81.149,1.069
MS064,15.829,97.698,81.068,204.926,1.555
MS065,19.75,89.895,75.732,241.566,2.347
MS066,13.351,92.09,76.199,395.248,1.814
MS067,17.683,86.0,66.721,710.745,2.321
MS068,12.046,97.297,83.353,154.858,1.652
MS069,18.636,97.837,80.985,106.828,1.201
MS070,16.936,99.432,79.954,178.231,1.492
MS071,11.812,98.519,83.106,107.073,1.81
MS072,13.842,97.768,82.75,170.656,1.338
MS073,15.958,94.094,80.619,200.414,1.921
MS074,12.319,89.28,74.26,380.594,1.84
MS075,11.508,87.296,73.343,454.13,2.163
MS076,17.678,97.112,78.762,166.444,1.523
MS077,11.289,98.542,79.638,148.383,1.473
MS078,12.476,98.727,81.349,148.946,1.354
MS079,12.185,96.681,81.299,54.911,1.504
MS080,13.368,86.0,70.641,661.336,2.294
MS081,13.912,97.032,81.884,142.188,1.882
MS082,14.219,95.86,76.608,210.482,1.258
MS083,11.07,90.415,77.972,414.545,1.955
MS084,11.989,86.0,65.3,802.77,2.279
MS085,14.33,97.874,79.64,145.59,1.637
MS086,11.778,97.851,85.215,102.336,1.241
MS087,16.876,95.971,74.796,177.876,1.539
MS088,11.772,95.848,79.769,130.27,1.611
MS089,14.394,97.728,79.51,173.069,1.598
MS090,17.497,99.625,78.872,153.194,1.678
MS091,12.458,93.129,78.107,320.694,1.203
MS092,12.335,97.312,80.535,179.373,1.762
MS093,14.441,96.132,80.217,157.655,1.597
MS094,12.494,97.572,79.076,81.223,1.613
MS095,11.001,91.105,78.809,278.241,2.156
MS096,13.76,91.851,79.613,192.319,2.316
MS097,13.573,99.074,82.825,184.91,1.438
MS098,13.738,92.975,75.098,166.927,1.939
MS099,12.295,95.09,79.817,136.437,1.783
MS100,13.11,94.791,81.825,191.959,1.747
MS101,13.264,96.02,80.33,135.828,1.856
MS102,13.813,88.659,76.498,476.803,1.34
MS103,12.032,97.832,82.794,124.011,1.555
MS104,12.782,90.724,79.449,207.378,2.696
MS105,17.208,99.105,78.803,137.03,1.696
MS106,11.348,97.098,84.145,138.419,1.585
MS107,17.361,97.551,78.555,110.808,1.745
MS108,13.261,86.0,68.103,623.341,1.887
MS109,13.842,94.802,80.596,196.543,1.706
MS110,16.757,87.674,75.765,455.972,2.142
MS111,11.578,90.262,75.549,339.656,2.194
MS112,11.801,87.34,78.339,186.162,2.627
MS113,13.273,98.8,81.577,143.987,1.446
MS114,16.49,86.0,65.646,320.185,3.909
MS115,16.891,96.98,77.947,187.612,1.64
MS116,13.093,93.337,79.059,312.628,1.536
MS117,15.984,96.216,80.215,163.26,1.804
MS118,10.65,96.65,79.934,161.754,1.804
MS119,15.725,97.091,83.131,102.529,1.829
MS120,12.893,97.031,82.367,119.903,2.062
MS121,19.517,97.961,81.781,175.789,1.213
MS122,16.428,88.866,76.091,185.386,2.869
MS123,12.364,95.682,78.317,183.814,1.442
MS124,10.596,97.358,82.611,164.608,1.284
MS125,13.537,98.232,82.383,201.333,1.662
MS126,15.001,98.187,78.12,172.163,1.465
MS127,12.371,98.537,84.83,162.932,1.795
MS128,10.879,98.451,81.628,163.15,1.409
MS129,17.033,86.0,72.354,601.749,2.337
MS130,13.18,99.219,78.648,117.76,1.637
MS131,12.058,97.636,78.784,234.782,1.947
MS132,11.426,91.602,77.756,333.378,1.943
MS133,14.712,95.088,78.031,147.053,1.688
MS134,12.272,86.0,73.907,310.773,2.956
MS135,20.268,97.342,78.313,216.771,1.353
MS136,13.699,97.018,79.875,156.905,1.362
MS137,14.72,86.0,65.55,884.432,1.949
MS138,12.348,86.0,70.054,254.571,3.334
MS139,15.541,94.803,79.837,195.148,1.533
MS140,11.773,98.559,82.422,99.889,1.459
MS141,12.949,99.494,82.472,118.854,1.456
MS142,11.977,96.903,81.119,206.27,2.05
MS143,12.335,86.0,70.255,227.052,3.147
MS144,11.345,97.473,83.152,196.196,1.277
MS145,12.538,97.177,75.339,190.592,1.151
MS146,13.471,93.684,81.494,197.64,1.69
MS147,13.127,97.492,79.686,139.743,1.634
MS148,15.06,89.529,77.521,281.532,2.032
MS149,11.757,97.646,81.5,155.542,1.633
MS150,12.984,97.873,81.476,99.415,2.077
MS151,13.653,98.404,81.092,48.347,1.828
MS152,15.822,97.367,80.547,174.441,2.009
MS153,16.657,86.0,74.672,508.204,2.121
MS154,16.782,96.93,81.9,147.614,1.662
